NSToolbarConfigPanel,NSPanel
_NSMagnifier,NSObject
NSPanel,NSWindow
CIVignetteEffect,CIFilter
NSManagedObjectModel,NSObject
NSPatternColor,NSColor
NSCGSWindow,NSObject
_NSDictionaryKeyProphylactic,NSObject
NSCGSSpace,NSObject
NSNotificationQueue,NSObject
PFUbiquityMigrationAssistant,NSObject
CUIOuterGlowOrShadowFilter,CIFilter
CoreWiFiMCS,NSObject
NSTextViewCompletionWindow,NSWindow
LKNSDictionaryCodingProxy,CACodingProxy
NSKeyValueNonmutatingCollectionMethodSet,NSObject
NSFileWatcher,NSObject
_PFUbiquityMigrationContext,NSObject
NSLegacyScrollerImp,NSScrollerImp
NSNavSegmentSwitchControl,NSSegmentedControl
CISubtractBlendMode,CIBlendModeFilter
NSSQLEntityKey,NSSQLColumn
AURemoteExtensionContext,NSExtensionContext
NSNullFileHandle,NSFileHandle
DDStarExp,DDUnaryOperator
MTLRenderPipelineReflection,NSObject
NSDockMiniViewWindow,NSWindow
IOBluetoothDeviceInquiry,NSObject
CUISmoothEmbossFilter,CIFilter
NSNavSidebarController,NSObject
NSGradientPatternColor,NSPatternColor
_NSCGSWindow,NSCGSWindow
CARemoteLayerClient,NSObject
__NSStackBlock,NSBlock
_NSCGSSpace,NSCGSSpace
_NSXPCBoost,NSObject
CUIBackgroundStyleEffectConfiguration,CUIStyleEffectConfiguration
OS_xpc_bool,OS_xpc_object
CISmoothLinearGradient,CIFilter
CIRAWGamutMapping,CIFilter
NSBatchDeleteRequest,NSPersistentStoreRequest
PAWSUpdateTimeToIndexMapping,NSObject
NSNavOutlineDateCell,NSTextFieldCell
_NSTabViewControllerPrivateData,NSObject
_NSScrollingConcurrentPageAlignmentAnimation,_NSScrollingConcurrentVBLPreprocessFilter
_NSFITagEditorView,NSView
_NSXMLPlaceholderNode,NSObject
NSDockMiniContentView,NSView
NSFrameView,NSView
NSUTF32EncodingDetector,NSEncodingDetector
NSRTFReaderTableState,NSObject
NSTableColumnDragInfo,NSObject
NSComboBoxButtonCell,NSButtonCell
CIRAWTemperatureAdjust,CIFilter
SFContinuityScanManager,NSObject
NSNumberFormatter,NSFormatter
NSAnimation,NSObject
NSKitPanelController,NSObject
CIAdditionCompositing,_CICompositeFilter
NSRemoteServiceConnection,NSObject
CoreWiFiLinkQuality,NSObject
NSTableRowView,NSView
NSAKSerializerStream,NSObject
NSKeyValueMutatingCollectionMethodSet,NSObject
NSSegmentItemLabelView,NSTextField
NSTabViewControllerToolbarUIProvider,NSObject
NSScriptRecordTypeDescription,NSScriptTypeDescription
NSSQLForeignKey,NSSQLColumn
BU_TMPushButton,BU_TMControl
CAContext,NSObject
NSConnectionHelper,NSObject
NSDocumentController,NSObject
__NSPlaceholderArray,NSMutableArray
IOBluetoothDeviceInquiryExpansion,NSObject
NSSavePanelAuxiliary,NSObject
NSPersistentUIUnarchiver,NSCoder
NSFontPanel,NSPanel
NSBlock,NSObject
_NSXPCDistantObject,NSObject
CIVignette,CIFilter
__NSCFURLLocalStreamTaskWork,NSObject
NSAccessibilitySliderValueIndicator,NSAccessibilityMockUIElement
NSCachedFetchRequestInfo,NSObject
MTLArgument,NSObject
PAVideoCard,NSObject
NSActionBinder,NSEditorBinder
_NSPDFDocument,NSObject
NSScriptDeclaredRecordTypeDescription,NSScriptRecordTypeDescription
NSVBSavePanel,NSPanel
_NSViewAuxiliary,NSObject
NSUTF32LEEncodingDetector,NSEncodingDetector
_NSCFTranslatedFileURLProtocol_PIMPL_2,_NSCFTranslatedFileURLProtocol
OS_os_transaction,OS_object
NSRTFReader,NSObject
AUV2BridgeBusArray,AUAudioUnitBusArray
_CFXNotificationDarwinTokenRegistration,_CFXNotificationTokenRegistration
NSKeyValueNestedProperty,NSKeyValueProperty
PFUbiquityBaselineRollOperation,PFUbiquityBaselineOperation
SFActivityScanner,NSObject
PASampleFrameIterator,NSObject
_NSBalancedModelObservingTracker,_NSModelObservingTracker
CSIHelper,NSObject
CUIOuterBevelEmbossFilter,CIFilter
__NSCFURLLocalStreamTaskWorkWrite,__NSCFURLLocalStreamTaskWork
NSNavNodePreviewController,NSNavPreviewController
NSURLKeyValuePair,NSObject
NSColorSpace,NSObject
_MTLFakeComputePipelineState,_MTLComputePipelineState
NSConcreteFileHandle,NSFileHandle
CIReedSolomon,NSObject
_NSFileWatcherFileHandleInfo,NSObject
NSDictationManager,NSObject
CUISystemCatalogVariant,CUISystemCatalog
NSPropertyDescription,NSObject
NSCachedColorSpaceColor,NSColorSpaceColor
CILinearGradient,CIFilter
NSConcreteFileHandleARCWeakRef,NSObject
_NSViewNotification,NSNotification
_NSPopoverPrivateData,NSObject
IOBluetoothAutomaticDeviceSetup,NSObject
NSXPCStoreConnection,NSObject
CoreWiFiWPSDeviceType,NSObject
NSDistributedObjectsStatistics,NSDictionary
_CTFontFallbacksArray,NSArray
NSSmallLegacyScrollerImp,NSLegacyScrollerImp
_NSXPCConnectionRequestedReplies,NSObject
NSNavOutlineView,NSOutlineView
CILinearLightBlendMode,CIBlendModeFilter
NSCollectionViewFlowLayoutInvalidationContext,NSCollectionViewLayoutInvalidationContext
NSAtomicStoreCacheNode,NSObject
NSFileWrapperMoreIVars,NSObject
NSUTIPredicateOperator,NSPredicateOperator
NSPrintSpoolingGraphicsContext,NSCGSContext
NSScriptListTypeDescription,NSScriptTypeDescription
NSSourceListBackgroundColor,NSCatalogColor
